"model","exposure","beta","se","pval","cond_F"
"4-way (transferrin + iron + ferritin + tsat)","exposure1",-0.0879797094736199,0.174376509138042,0.617975854891478,0.0331187620036351
"4-way (transferrin + iron + ferritin + tsat)","exposure2",0.10313407532429,0.421586997220216,0.808590264735437,0.0329811562598337
"4-way (transferrin + iron + ferritin + tsat)","exposure3",-0.0128289975711449,0.0479962168252502,0.791275619290602,0.37551937399768
"4-way (transferrin + iron + ferritin + tsat)","exposure4",-0.112999718395423,0.439521671090738,0.799053048650613,0.0325071083777882
"3-way (transferrin + ferritin + tsat)","exposure1",-0.0455395950742253,0.0173134761433556,0.0137081779117561,22.7491417841396
"3-way (transferrin + ferritin + tsat)","exposure2",-0.0103766851252912,0.0461429532484694,0.823704782692483,36.6704763229817
"3-way (transferrin + ferritin + tsat)","exposure3",-0.00568474070678601,0.0267666003229759,0.833347686379266,14.7774078909979
